,Aggressive Advances,Cautious Advances,Distracted Advances,Learning Advances,Run,,,,,,
16,102,85,68,68,3,,,,,,
17,108,90,72,72,3,,,,,,
18,114,76,76,76,3,,,,,,
19,80,80,80,80,3,,,,,,
20,84,84,84,84,3,,,,,,
21,66,88,88,44,3,,,,,,
22,46,69,69,46,3,,,,,,
23,24,72,48,24,3,,,,,,
24,0,75,50,25,3,,,,,,
25,0,78,52,26,3,,,,,,
26,0,81,54,27,3,,,,,,
27,0,28,56,28,3,,,,,,
28,0,29,58,0,3,,,,,,
29,4,12,8,6,3,,,,,,
30,8,24,16,12,3,,,,,,
31,12,36,24,15,3,,,,,,
32,16,48,32,20,3,,,,,,
33,20,60,40,25,3,,,,,,
34,24,72,48,30,3,,,,,,
35,28,84,56,35,3,,,,,,
36,32,96,64,40,3,,,,,,
37,36,99,72,45,3,,,,,,
38,40,110,80,50,3,,,,,,
39,44,121,88,55,3,,,,,,
40,48,132,96,60,3,,,,,,
41,52,130,104,65,3,,,,,,
42,56,140,98,70,3,,,,,,
43,60,150,105,75,3,,,,,,
44,64,160,112,64,3,,,,,,
45,68,170,119,68,3,,,,,,
46,72,162,126,72,3,,,,,,
47,76,133,114,57,3,,,,,,
48,80,140,120,60,3,,,,,,
49,63,147,105,63,3,,,,,,
50,66,154,110,66,3,,,,,,
51,46,161,92,69,3,,,,,,
52,48,168,72,72,3,,,,,,
53,25,175,50,25,3,,,,,,
54,26,182,52,26,3,,,,,,
55,27,162,54,27,3,,,,,,
56,28,112,56,28,3,,,,,,
57,29,116,58,29,3,,,,,,
58,0,120,60,0,3,,,,,,
59,0,62,62,0,3,,,,,,
60,0,32,32,0,3,,,,,,
61,0,33,33,0,3,,,,,,
62,6,7,8,9,3,,,,,,
63,12,14,16,18,3,,,,,,
64,18,21,24,27,3,,,,,,
65,24,28,32,36,3,,,,,,
66,30,35,40,45,3,,,,,,
67,36,42,48,54,3,,,,,,
68,42,49,56,63,3,,,,,,
69,48,56,64,72,3,,,,,,
70,54,63,72,72,3,,,,,,
71,60,70,80,80,3,,,,,,
72,66,77,88,88,3,,,,,,
73,72,84,96,96,3,,,,,,
74,78,65,91,104,3,,,,,,
75,84,70,98,112,3,,,,,,
76,90,75,90,120,3,,,,,,
77,96,80,96,80,3,,,,,,
78,102,85,85,85,3,,,,,,
79,108,90,90,90,3,,,,,,
80,114,76,95,95,3,,,,,,
81,120,80,80,100,3,,,,,,
82,126,42,63,105,3,,,,,,
83,132,44,66,88,3,,,,,,
84,115,46,69,92,3,,,,,,
85,120,48,48,72,3,,,,,,
86,100,50,50,50,3,,,,,,
87,104,52,0,52,3,,,,,,
88,108,54,0,54,3,,,,,,
89,112,56,0,28,3,,,,,,
90,87,58,0,29,3,,,,,,
91,60,60,0,0,3,,,,,,
92,62,31,0,0,3,,,,,,
